'CanonicalRoots.cyclicPlaneHom_coeff' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.cyclicPlaneFixed' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.cyclicMonomialValue_all_one_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.mem_cyclicPlaneFixed_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.cyclicQuotientMap_range_eq_fixed' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.cyclicQuotientEquivFixed' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.augmentationEquiv_primeCompl' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.augmentationLocalEquiv' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.cyclicPlaneOrigin' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.cyclicQuotientEquivFixed_coe' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.cyclicQuotientEquivFixed_origin' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.cyclicInvariantOriginEquiv' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.cyclicPlaneFixed_origin_not_regular' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.mem_polynomialOriginIdeal_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.noConstantOrLinear_iff_mem_square' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.originLinearPart_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.originCotangentLinear_injective' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.originCotangentLinear_surjective' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.polynomialOriginCotangentEquiv' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.polynomialOriginCotangent_finrank' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.quotientCotangentMap_surjective' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.quotientCotangentMap_injective' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.quotientCotangentEquiv' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.presented_ker_le_origin_square' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.presentedOriginCotangentEquiv' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.presentedOriginCotangent_finrank' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.RootHypersurfacePresentation.cotangent_finrank' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'CanonicalRoots.presentedAugmentation' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.presentedAugmentation_mk' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.presentedOriginIdeal_eq_ker' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.presentedAugmentation_surjective' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.presentedOriginIdeal_isMaximal' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.cotangent_finrank_le_of_augmented_surjection' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.cotangent_finrank_le_of_surjection' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.presented_minimum_generators' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.RootHypersurfacePresentation.minimum_generators' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'CanonicalRoots.RootHypersurfacePresentation.root_minimum_generators' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'CanonicalRoots.RootHypersurfacePresentation.exists_minimal_surjection' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'CanonicalRoots.presented_variables_eq_of_algEquiv' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.localCotangentMap_injective' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.localCotangentMap_surjective' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.localCotangentEquiv' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.localResidueEquiv' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.augmentation_surjective' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.augmentationKer_isMaximal' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.augmentationLocalResidueEquiv' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.augmentationLocalCotangent_finrank' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.presentedLocalCotangent_finrank' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.presented_krullDim_succ_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.presentedLocal_krullDim_succ_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.presented_origin_not_regular' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.cyclicQuotientEquation_noConstantOrLinear' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.cyclicQuotientEquation_ne_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.cyclicQuotient_origin_not_regular' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.RootHypersurfacePresentation.origin_not_regular' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'CanonicalRoots.fermat_group_homogeneous' depends on axioms: [propext, Classical.choice, Quot.sound]
